formula,problem,target_noise,predicted_tree,mse_fit,r2_fit,accuracy_l1_biggio_fit,accuracy_l1_1e-3_fit,accuracy_l1_1e-2_fit,accuracy_l1_1e-1_fit,_complexity_fit,r2_predict,accuracy_l1_biggio_predict,accuracy_l1_1e-3_predict,accuracy_l1_1e-2_predict,accuracy_l1_1e-1_predict,_complexity_predict,time,input_dimension
#NAME?,feynman_II_15_4,0.1,(0.07839240246321103 add (((0.00016777869562658129 mul x_2) add (-0.9983878960988605 mul (x_0 mul cos((-12.558884798494754 add (-1.0020321588587824 mul x_2)))))) mul x_1)),0.010066356,0.984033451,0,0,0,0,18,0.999871397,0,0,0,0,18,8049.041048,3
#NAME?,feynman_II_15_5,0.1,(0.044781759991337745 add (cos((3.1392992021975235 add (0.9996600469858811 mul x_2))) mul (((0.9950479626470873 mul x_0) sub (13.189221923351022 mul inv((-3.045377483640432 add (28.265668952955476 mul (x_1 mul ((-22.918818382161568 mul x_1) sub (29.888818382161467 mul x_1)))))))) mul x_1))),0.009917375,0.984243151,0,0,0,0,31,0.999927434,0,0,0,0,31,10822.37077,3
q/(4*pi*epsilon*r*(1-v/c)),feynman_II_21_32,0.1,(-0.005233977137193502 add (inv((-0.44990975245437387 add (-3.3855935831647814 mul x_1))) mul (inv((-6.444464649033382 add (-50.72965014772569 mul x_2))) mul ((20.81287152649102 mul x_0) add (15.007206774341588 mul exp(((4.008137427134406 mul sin((-2.9543207553561586 add (-0.7116831744775091 mul x_3)))) sub (0.7050873279283266 mul x_4)))))))),0.015904509,0.96506716,0,0,0,0,35,0.986560304,0,0,0,0,35,1447.808157,5
sqrt(omega**2/c**2-pi**2/d**2),feynman_II_24_17,0.1,(-0.5411580655941693 add (inv((752.2115178186572 add (7095.563189362661 mul x_1))) mul ((6098.234963750839 mul sin((-2.145027485483499 add (0.8623976688194114 mul x_0)))) add ((9.328731272131591e-05 mul ((6780.364986334645 add (-4223.583218588021 mul x_0)))**2) add (13298.498398493288 mul arctan(((2.7240259217705813 mul x_2) add (-2.3196706719885154 mul x_1)))))))),0.010145651,0.863179909,0,0,0,0,37,0.996805063,1,0,0,1,37,6109.062459,3
epsilon*c*Ef**2,feynman_II_27_16,0.1,(-1.3188270028064948 add (abs((0.4474349541478206 add (11.298583907186599 mul (x_0 mul ((0.36115324011351496 mul x_2) add (-0.1388467598848254 mul x_2)))))) mul ((6.505436590360083 mul abs((0.005686010235268032 add (-0.0012252072021274607 mul x_1)))) add (0.3938138151905151 mul (x_2 mul x_1))))),0.00982161,0.979861723,0,0,0,0,31,0.999949419,0,0,0,1,31,2240.124713,3
epsilon*Ef**2,feynman_II_27_18,0.1,(-0.2009085803056921 add (((0.037589321277788953 mul x_0) add (0.00015054055688126536 mul x_1)) mul (((0.009254054055601703 mul cos((2.0114371689924595 add (-0.7851387384764992 mul (x_1 mul inv((0.27146200888432576 add (-0.13287557155439855 mul x_0)))))))) add (5.154874767589924 mul x_1)))**2)),0.010007564,0.975620093,0,0,0,0,30,0.999967009,0,0,0,1,30,3555.142523,2
kappa*(T2-T1)*A/d,feynman_II_2_42,0.1,(0.013672275238268763 add ((abs((-0.005595603901646639 add (-0.26399105064350853 mul x_0))) mul (inv((0.028120944457284275 add (4.534841353734087 mul x_4))) mul ((-7.856197187077682 mul x_1) sub (-7.854426344637884 mul x_2)))) mul ((2.187844173100259 mul x_3) sub (0.0048924044310453135 mul abs((8.299210556700178 add (-1.771216142136708 mul x_2))))))),0.009863331,0.990136608,0,0,0,0,36,0.999983837,0,0,0,1,36,4340.370505,5
g_*q*B/(2*m),feynman_II_34_11,0.1,(0.10206850457967384 add (abs((-0.00023939936381746154 add (-0.12593534702485498 mul x_2))) mul (inv((0.21753778130245643 add (17.591239809897605 mul x_3))) mul abs(((69.64928577166846 mul (x_1 mul x_0)) add (7.124906372295703 mul ((-0.05543472836708863 add (0.014709829017187629 mul x_1)))**2)))))),0.00996434,0.978888822,0,0,0,0,31,0.99973401,0,0,0,0,31,2876.240354,4
q*v*r/2,feynman_II_34_2,0.1,(0.09725157890329333 add (((8.209405901630056 mul (x_1 mul x_2)) sub (-9.20940590163006 mul (x_2 mul x_1))) mul ((0.028518386513730204 mul x_0) add (-0.0009602760014893983 mul inv((2.2769270945212767 add (0.800451471736346 mul (x_1 mul x_0)))))))),0.009943723,0.971198825,0,0,0,0,28,0.999954621,1,0,0,1,28,4010.179641,3
q*h/(4*pi*m),feynman_II_34_29a,0.1,((0.0012019870408650846 mul (abs((-2.709214304444428 add (59.64210326146171 mul x_0))) mul (abs(((26.933677806716087 mul x_1) add (-5.946076964321222 mul x_2))) mul inv((0.08341670403902723 add (23.889093699827985 mul x_2)))))) add (0.017996280766784306 mul x_0)),0.009895343,0.974754869,0,0,0,0,28,0.999901582,1,0,0,1,28,2466.193835,3
g_*mom*B*Jz/(h/(2*pi)),feynman_II_34_29b,0.1,(6.1353685361339165 add ((inv((-0.005072870963731236 add (1.5709174375920114 mul x_1))) mul (abs((0.10412692453160573 add (-3.581577912746679 mul x_0))) mul abs((0.45793135984211397 add (-7.066367099696487 mul (x_4 mul x_2)))))) mul ((0.3908507747391114 mul x_3) sub (0.003002233722726488 mul abs((-1.8297128986663782 add (1.3910853168801345 mul x_1))))))),0.010091997,0.981343027,0,0,0,0,37,0.999787357,0,0,0,0,37,3925.203216,5
q*v/(2*pi*r),feynman_II_34_2a,0.1,(0.0010917163523378732 add ((5.9657425954718155 mul x_1) add (-0.10811879843888667 mul (((-1.9674490112487546 mul abs((0.6736037696693531 add (-12.259744811065387 mul (x_1 mul ((-0.41469406282004434 mul x_0) sub (-15.488627446241855 mul x_2))))))) add (-0.25710724688013076 mul x_0)) mul inv((0.0066002956448082415 add (-6.771918070878438 mul x_2))))))),0.009889045,0.974770973,0,0,0,0,35,0.99994331,1,0,0,1,35,5049.735696,3
n_0/(exp(mom*B/(kb*T))+exp(-mom*B/(kb*T))),feynman_II_35_18,0.1,(0.008789408371715868 add (((-0.0008917650107633047 mul x_1) add (-89.79988025241977 mul sin((-1.8543110397179532e-05 add (-6.945378223783061e-05 mul (cos((-0.49441668355136476 add (0.38159881443151117 mul x_2))) mul x_0)))))) mul ((25.14409348697669 mul x_2) add ((-521.3969054141958 mul sin((7.266137822146246 add (0.050613234415579085 mul (x_4 mul x_3))))) add (384.17453369212507 mul arctan((1.8927027708644137 add (0.6304627462132836 mul x_1)))))))),0.0141757,0.936962433,0,0,0,0,45,0.980013016,0,0,0,0,45,8618.084179,5
n_rho*mom*tanh(mom*B/(kb*T)),feynman_II_35_21,0.1,(0.9049710536110138 add (((-0.4728153837990528 mul abs((-5.086622225734732 add (5.031054769399052 mul x_0)))) sub (-5.247869089172666 mul cos((-7.6130315046716905 add (-0.15151745628279759 mul x_1))))) mul ((0.047027819148487825 mul (x_3 mul x_4)) sub (-2.3891592031884628 mul cos((4.710782818788189 add (0.24576660784468 mul (x_1 mul sin((3.4535293673112766 add (0.2613829591326296 mul x_2))))))))))),0.017325939,0.951743167,0,0,0,0,41,0.978928095,0,0,0,0,41,10228.11831,5
mom*H/(kb*T)+(mom*alpha)/(epsilon*c**2*kb*T)*M,feynman_II_36_38,0.1,(0.03497297733092116 add (inv((-0.08676918731495521 add (-5.239511985755824 mul x_2))) mul (inv((-0.09395901095657472 add (4.888718472816 mul x_3))) mul (((-2.4098850245484544 mul x_1) sub (6.031064774303463 mul exp(((0.22381308347021198 mul (x_4 mul x_7)) add (-1.2936551785037307 mul x_6))))) mul ((11.201462373741428 mul x_0) sub (-3.0881677164252563 mul sin((2.2881108607036102 add (-1.4267054198730245 mul x_5))))))))),0.015208851,0.952940231,0,0,0,0,45,0.982954899,0,0,0,0,45,5330.492516,8
mom*(1+chi)*B,feynman_II_37_1,0.1,(0.06770764612681072 add (abs((-0.0028512535107010346 add (-0.10788784715778692 mul x_0))) mul ((-0.145050442237106 mul abs((-8.196655130776767 add (22.017480221135717 mul (inv((2.4795141713830713 add (0.5841292439301422 mul x_0))) mul x_2))))) add ((8.90168476524028 mul x_1) sub (-9.348881020916108 mul (x_2 mul x_1)))))),0.010007757,0.967484104,0,0,0,0,34,0.999933766,1,0,0,1,34,3858.113617,3
Y/(2*(1+sigma)),feynman_II_38_14,0.1,(0.001979788858420998 add (inv((20.954821333366805 add (21.010441846267234 mul x_1))) mul abs(((-10.460642013879074 mul x_0) sub (0.7192495787835718 mul abs(((-0.028241962950724214 mul x_1) add (0.060057478379687175 mul sin((-0.25663087656383926 add (-97.9961609520614 mul x_0))))))))))),0.009865126,0.954910111,0,0,0,0,29,0.999949909,1,0,0,1,29,1434.53193,2
Y*A*x/d,feynman_II_38_3,0.1,(0.13400211770069237 add ((abs((0.021312418195427573 add (-1.2346398744558917 mul x_3))) mul abs(((23.29124071864538 mul inv((0.48928020641486103 add (28.395570829416062 mul x_2)))) add (-206.67040585090635 mul (x_1 mul exp((49.86135434589566 add (-70.9407863765133 mul x_2)))))))) mul (x_1 mul x_0))),0.009917967,0.97873855,0,0,0,0,33,0.999810449,0,0,0,1,33,6622.667928,4
Pwr/(4*pi*r**2),feynman_II_3_24,0.1,((inv((-0.8487135518531453 add (-1.1854582249208159 mul (x_1 mul ((0.5530300615625714 add (1.5093227382786454 mul x_1)))**3)))) mul exp((-3.8770866494383003 add (-0.8882813542867231 mul x_0)))) add ((0.0793072253249888 mul (x_0 mul inv((x_1 mul x_1)))) add (3.343136165187901e-05 mul x_1))),0.009933069,0.983085337,0,0,0,0,33,0.99997848,1,0,0,1,33,1495.98876,2
q/(4*pi*epsilon*r),feynman_II_4_23,0.1,(0.0003151933471578491 add (inv((0.008530768505267244 add (-0.45323469718939374 mul x_1))) mul (inv((3.6875342234778548 add (-363.86135175678857 mul x_2))) mul abs(((12.855097622525793 mul x_0) sub (-15.340223675160908 mul exp((-9.115806328664169 add (0.12710765285991718 mul (x_0 mul x_2)))))))))),0.009888323,0.977339874,0,0,0,0,31,0.999962649,1,0,0,1,31,1268.828117,3
1/(4*pi*epsilon)*p_d*cos(theta)/r**2,feynman_II_6_11,0.1,(-0.0006531771779762696 add (((0.16017777297825536 mul ((-0.2833320876688092 add (0.33870257978063184 mul x_0)))**2) sub (-0.5653551774524096 mul x_1)) mul (((0.6758672294548155 mul cos((-0.510590593052648 add (1.2195707090816408 mul x_2)))) add (-0.0527799404892192 mul x_2)) mul exp(((-1.3461857467729612 mul x_3) add (-0.614311375734088 mul x_0)))))),0.01708479,0.978675234,0,0,0,0,36,0.991089305,0,0,0,0,36,1870.782866,4
p_d/(4*pi*epsilon)*3*z/r**5*sqrt(x**2+y**2),feynman_II_6_15a,0.1,(0.017890804189109575 add ((inv((-2.2443470397540722e-05 add (0.0011949999058844679 mul x_0))) mul (exp(((-4.133994637552113 mul x_2) add (-1.8737070779259632 mul ((1.0854920655090619 add (-0.28031997362286043 mul x_5)))**2))) mul ((22.441956096235227 mul x_1) add (-0.8700118191965334 mul x_2)))) mul ((35.12044533235792 mul cos((1.5707904697210848 add (-4.788908263849814e-05 mul x_4)))) add (0.0018557206310162112 mul x_3)))),0.012301598,0.984628679,0,0,0,0,43,0.996851827,0,0,0,0,43,6119.477969,6
p_d/(4*pi*epsilon)*3*cos(theta)*sin(theta)/r**3,feynman_II_6_15b,0.1,(0.00019883846342221335 add ((((6.225916072008336 mul cos((-4.68824714069163 add (-2.011496441197766 mul x_2)))) sub (0.039185469755705 mul x_3)) mul exp((-4.587436577969593 add (-0.6631463716316894 mul x_0)))) mul ((27.08892207300755 mul exp(((0.5352978877490935 mul x_1) add (-2.544695824434014 mul x_3)))) add (0.17933657956850524 mul x_0)))),0.016023963,0.982246478,0,0,0,0,36,0.993132525,0,0,0,0,36,915.4172873,4
epsilon*Ef**2/2,feynman_II_8_31,0.1,(-0.4893331715062418 add (((0.12171800294936942 mul x_0) add (-0.003329952993458768 mul abs(((-1.70367037248204 mul x_0) add (0.1956416279664551 mul abs((7.916909074081673 add (-2.366735529467072 mul x_1)))))))) mul ((-0.14940597655084037 add (-2.057399440237609 mul x_1)))**2)),0.010023367,0.975645442,0,0,0,0,28,0.99977524,0,0,0,0,28,2132.353075,2
3/5*q**2/(4*pi*epsilon*d),feynman_II_8_7,0.1,(-1.3935707283208988e-05 add (inv((-16.491780734631444 add (32.8224915898448 mul (x_1 mul abs((0.4288348699500174 add (52.24456052850589 mul x_2))))))) mul (((0.0680421071716292 mul cos((2.447253701218134 add (13.527871841217332 mul x_1)))) add (9.033719170717982 mul x_0)))**2)),0.009826162,0.982380888,0,0,0,0,29,0.99994246,1,0,0,1,29,1297.151173,3
m_0/sqrt(1-v**2/c**2),feynman_I_10_7,0.1,(0.019544608908374703 add ((0.9861376117535866 mul x_0) add (1.6329422919820211 mul (((-17.208170424839086 mul x_1) add (1069.3042450967796 mul x_0)) mul (sin((4.85425700771306e-10 add (0.07952203710325254 mul (inv((43.77423621178233 add (233.73338350036775 mul x_2))) mul inv((-1518.1930259890646 add (1459.0259239971228 mul x_2))))))) mul ((25.28575145599408 add (11.278506448727297 mul (x_1 mul x_1))))**2))))),0.010016279,0.927754549,0,0,0,0,43,0.999815473,1,0,1,1,43,9255.87755,3
x1*y1+x2*y2+x3*y3,feynman_I_11_19,0.1,(-0.8662807224184563 add ((3.710136070596463 mul (((-0.5684387653947325 mul x_4) add (0.10180696118426161 mul abs((32.77448697617032 add (1.136483725571657 mul x_5))))) mul ((-0.058465295979890156 mul x_4) add (-0.47110328001306845 mul x_1)))) sub ((-6.472427820918824 mul x_1) add (-1.1387849638389294 mul (abs((0.7751823723734549 add (0.21870105277049626 mul x_2))) mul ((0.6094557728509084 mul (x_0 mul x_3)) add (2.265415056264687 mul x_5))))))),0.0113752,0.891654543,0,0,0,0,47,0.983688845,0,0,0,1,47,14623.59523,6
mu*Nn,feynman_I_12_1,0.1,(inv(((inv((-0.04005101413787078 add (0.00979697714072155 mul x_0))) mul inv((-0.5000000000716257 add (-47.000000000087255 mul x_0)))) add (-3.500001511143403 mul (((-0.49999914521448535 add (8.000001375674598 mul x_0)))**2 mul x_0)))) add (x_1 mul x_0)),0.009839768,0.960548758,0,0,0,0,29,0.999999951,1,1,1,1,29,2980.601905,2
q*(Ef+B*v*sin(theta)),feynman_I_12_11,0.1,(0.1449284031765163 add (((0.055844398166771794 mul x_1) add (0.040151280015319306 mul (cos((-7.882416360577115 add (1.0043452386990976 mul x_4))) mul (abs((-0.008751422178340377 add (0.6597363483430224 mul x_3))) mul abs((0.06642551519832406 add (-2.221212730484575 mul x_2))))))) mul ((17.268441034121356 mul x_0) add (-27.879639241013123 mul sin((0.0024647405300225727 add (-0.000761607986685921 mul x_4))))))),0.010074685,0.988209265,0,0,0,0,41,0.99983566,0,0,0,0,41,24909.66858,5
q1*q2*r/(4*pi*epsilon*r**3),feynman_I_12_2,0.1,(0.00010708993333807443 add ((inv((-0.3584875609147081 add (-1.9090770625322733 mul x_3))) mul inv((0.3053679781240484 add (-1.9086801294116702 mul x_3)))) mul ((-30.475587199466506 mul cos((10.995517586185224 add (-0.20032183953060756 mul ((x_0 mul inv((-0.007939415272951786 add (20.82984829468585 mul x_2)))) mul x_1))))) sub (0.0007470893739244546 mul (x_2 mul x_2))))),0.009930707,0.986003148,0,0,0,0,39,0.999918688,1,0,0,1,39,4051.849404,4
q1*r/(4*pi*epsilon*r**3),feynman_I_12_4,0.1,(-9.343175502759759e-05 add (((0.08170912250504662 mul x_0) sub (-0.7561677548895613 mul exp(((-0.8811347690510124 mul x_1) add (0.3290671032409832 mul x_0))))) mul (((-0.00040477005546486246 mul sin((-0.10635700622613513 add (97.68771059523078 mul x_2)))) add (-0.6650837179748619 mul inv((0.04105210605578978 add (1.4691628261967282 mul x_2))))))**2)),0.012191644,0.981667198,0,0,0,0,35,0.996908197,1,0,0,0,35,1612.576701,3
q2*Ef,feynman_I_12_5,0.1,(0.02459358209240732 add ((0.0016540161442778864 mul x_0) sub (0.005779251214927796 mul (x_1 mul ((-173.25670288330193 mul x_0) sub (1.9350145987939387e-06 mul (x_1 mul inv((1.443947517827668 add (10.77294333644854 mul (x_0 mul cos((0.6050085879847296 add (-8.020265022900803 mul x_0)))))))))))))),0.009888634,0.96008075,0,0,0,0,31,0.999931246,1,0,0,1,31,3678.952019,2
G*m1*m2*(1/r2-1/r1),feynman_I_13_12,0.1,(0.04130054364998733 add ((inv((-0.0188457255882971 add (1.0054620662605653 mul x_2))) mul (inv((14.447975337153185 add (0.02474766939593887 mul x_0))) mul ((inv((0.01049853133303203 add (-0.7598727052805138 mul x_3))) mul x_0) mul ((-7.2095070995517645 mul exp((-6.096933515610443 add (-8.209026488866773 mul x_3)))) sub (5.442664643447218 mul (x_4 mul x_1)))))) mul ((2.011637199286617 mul x_2) add (-2.0135040540854443 mul x_3)))),0.009869377,0.990130455,0,0,0,0,47,0.999965297,0,0,0,0,47,5853.307065,5
1/2*m*(v**2+u**2+w**2),feynman_I_13_4,0.1,(1.3067740269723036 add (((0.15860454030458007 mul ((-0.2442143050688638 add (2.5317098451968194 mul x_1)))**2) sub ((-5.499364328777324 mul x_3) add ((-3.339564674000753 mul x_2) add (-10.13356632990835 mul sin((-2.583390749397947 add (0.511109206354893 mul x_2))))))) mul ((0.5322101709967301 mul x_0) sub (-0.11723564884298827 mul cos((-0.318965418899036 add (-1.003492254434391 mul x_3))))))),0.010367584,0.958852986,0,0,0,0,40,0.998360257,0,0,0,1,40,9926.899622,4
m*g*z,feynman_I_14_3,0.1,(1.7634497338641792 add (abs((-10.116679121725166 add (-5.28723233580475 mul (inv((0.30539000789313475 add (9.007333268072204 mul x_1))) mul inv((-7.999409980328304 add (90.00080394434787 mul x_0))))))) mul abs((0.1783653461587226 add (-0.09859753683299027 mul (x_1 mul (x_2 mul x_0))))))),0.009809778,0.971677679,0,0,0,0,31,0.999961907,1,0,1,1,31,4048.371628,3
1/2*k_spring*x**2,feynman_I_14_4,0.1,(0.19290306136074914 add (((-0.004555501905216591 mul sin((1.6290210095146382 add (94.17872639756395 mul x_0)))) add (3.065323845327755 mul abs((-0.006059805048330563 add (0.3892713300456921 mul x_0))))) mul ((-0.04014875923102212 mul x_1) add (6.81923710037304 mul ((7.964509410144255e-06 add (0.25008297769533666 mul x_1)))**2)))),0.010011161,0.975686903,0,0,0,0,32,0.999954355,1,0,0,1,32,2619.720994,2
???,feynman_I_15_10,0.1,(-0.004727067878789231 add ((cos((-1.4916846184369557 add (0.020612075931945983 mul (inv((0.39265419774445676 add (2.7887197012682945 mul (x_1 mul inv((20.78457913949237 add (-19.228377064925358 mul x_2))))))) mul x_1)))) mul ((-2.9573096522075892 mul x_0) sub (8.557309652062074 mul x_0))) mul sin((-0.25146276124590305 add (-0.4607027592462061 mul x_1))))),0.009876802,0.943859051,0,0,0,0,37,0.999792428,1,0,1,1,37,10038.62513,3
(t-u*x/c**2)/sqrt(1-u**2/c**2),feynman_I_15_3t,0.1,(-1.7874880715728825 add (((-0.019821282600265267 mul x_2) add (1.3653500453386989 mul arctan((-2.55588152357363 add (-0.14896781326211275 mul (exp((5.490656198298329 add (-0.9870315614265243 mul x_1))) mul x_2)))))) mul ((-1.4271194337448851 mul inv((1.3446292658291723 add (8.941001176640762 mul (x_0 mul exp((-0.33589184014671086 add (-0.956835107532966 mul x_1)))))))) sub (0.6072640455442949 mul x_3)))),0.010067558,0.933043275,0,0,0,0,41,0.998326992,0,0,0,1,41,11770.68106,4
(x-u*t)/sqrt(1-u**2/c**2),feynman_I_15_3x,0.1,(0.33764551022686884 add (inv((-1.171032973733795 add (-258.2121135636766 mul (cos((-10.235079869314413 add (-0.8005338030324052 mul x_1))) mul inv((-95.32668001014359 add (-67.8031978246455 mul (x_2 mul x_2)))))))) mul ((1.2358229750430214 mul (x_1 mul x_3)) add ((-1.1378580319411553 mul x_0) add (0.3805513105610337 mul abs((0.0036512585722865334 add (-2.178924374108213e-05 mul (x_2 mul x_0))))))))),0.010024471,0.890235742,0,0,0,0,43,0.998790603,1,0,0,1,43,6400.509303,4
(u+v)/(1+u*v/c**2),feynman_I_16_6,0.1,(0.056639599616047843 add ((0.9817144924400899 mul x_0) add (1.2300617248155629e-05 mul (((258.55105494076486 mul x_0) add (-100.65419744578614 mul ((1.239357168972889 add (0.49731064375423323 mul x_1)))**2)) mul ((-33.56736319782303 mul x_1) add (-212.2913596906454 mul sin(((-0.2674163352935385 mul x_0) add (134.7102459981189 mul (inv((-183.53068822004818 add (-55.21816858955946 mul x_2))) mul inv((0.15206789635975396 add (0.023703653885122866 mul x_1))))))))))))),0.010152433,0.931785767,0,0,0,0,47,0.997912977,0,0,0,1,47,15031.28592,3
r*F*sin(theta),feynman_I_18_12,0.1,(0.07885616136088434 add (((1.0004783227678016 mul (x_1 mul x_0)) sub (-0.001280885882578684 mul cos((10.646127197018744 add (-6.846739941232817 mul x_2))))) mul cos((-1.5800865893859863 add (1.0031635887665338 mul x_2))))),0.010080191,0.989598063,0,0,0,0,23,0.99990992,0,0,0,0,23,3682.577013,3
m*r*v*sin(theta),feynman_I_18_14,0.1,(0.09163218986329043 add (((((2.4843762237324207e-07 mul ((62583.19966243486 add (-21820.54478580555 mul x_0)))**2) sub (-37209.46861627384 mul x_1)) mul cos((-10.995552509760342 add (0.0006659409510377767 mul x_0)))) mul sin((0.015538097858042502 add (-1.0041249348289727 mul x_3)))) mul sin((-3.1420386919024867 add (-0.03963697646054355 mul x_2))))),0.009967711,0.989992638,0,0,0,0,35,0.999902946,0,0,0,1,35,21759.27418,4
(m1*r1+m2*r2)/(m1+m2),feynman_I_18_4,0.1,(23.725411518806595 add ((240.570092843027 mul (((-0.5617559705542691 mul x_3) add (297.61650312814805 mul sin((-0.0003320005341398451 add (0.0019668467147260144 mul x_2))))) mul sin((1.4806646115250748 add (0.018297617251107838 mul x_0))))) add ((3.6198299940529917 mul (inv((68.13900231849664 add (152.78385317755232 mul x_2))) mul x_3)) sub (0.7789531395300907 mul (cos((6.195691708347312 add (0.01732120938174514 mul x_1))) mul ((-174.12215011553832 mul x_3) add (180.12302051717757 mul x_2))))))),0.009902186,0.881149124,0,0,0,0,51,0.998912667,1,0,0,1,51,13585.29748,4
1/2*m*(omega**2+omega_0**2)*1/2*x**2,feynman_I_24_6,0.1,(-0.16615258265417798 add (((0.3842816947304112 mul ((-4.655290367962557 add (-1.41832569009418 mul x_2)))**2) sub (-10.773090814342375 mul arctan((-2.490160151188773 add (1.0057825073598305 mul (sin((2.1715649595149222 add (-0.29292367253176443 mul x_0))) mul x_1)))))) mul (((0.2411322186398609 mul x_3) add (0.014413759729371613 mul (x_3 mul ((1.1321837588613932 mul x_0) add (7.552183758838713 mul x_0))))))**2)),0.010552023,0.972015287,0,0,0,0,43,0.998465518,0,0,0,1,43,5988.898365,4
q/C,feynman_I_25_13,0.1,(3.073026497736753 add (((3.044502430299899 mul x_0) sub (9.40559304827511 mul x_1)) mul ((-6.83657443441536e-06 mul cos((-0.5069301256289501 add (-8.928757411021978 mul x_0)))) add (-6.302153981764113 mul inv((-0.04191528093778331 add (-19.291725880237195 mul x_1))))))),0.009819256,0.967538517,0,0,0,0,27,0.999926743,1,0,1,1,27,1714.635069,2
arcsin(n*sin(theta2)),feynman_I_26_2,0.1,(0.00043211184670761504 add (((-3.8684577221368026 mul x_0) sub (-7.07644602520376 mul cos((4.711861692415617 add (0.4916664719580128 mul x_0))))) mul ((-3.974916156271039 mul sin((1.242759742203291 add (1.6080115595124607 mul x_1)))) add (5.9863032556388776 mul cos((6.006535068649451 add (-1.414644193335133 mul x_1))))))),0.011014076,0.988932762,0,0,0,0,32,0.998971747,0,0,0,0,32,3554.304071,2
1/(1/d1+n/d2),feynman_I_27_6,0.1,(-0.037734816254738644 add ((((0.02611224835717735 mul x_1) add ((-1.4021009181615098 mul x_0) sub (0.017226197984129974 mul x_2))) mul cos((-1.2817500281799004 add (0.0057472547731136255 mul x_2)))) mul inv((-0.3630847125369694 add (3.2723523303283226 mul (inv((-0.874689760074681 add (-7.653575501687012 mul x_1))) mul (x_0 mul x_2))))))),0.009895717,0.946699356,0,0,0,0,36,0.999746795,1,0,0,1,36,3949.721074,3
sqrt(x1**2+x2**2-2*x1*x2*cos(theta1-theta2)),feynman_I_29_16,0.1,(1.0585155418792056 add (inv((1.2079684711523413 add (0.061347632689756126 mul x_1))) mul (abs(((-0.3991111327841385 mul x_2) add (-124.80734404478093 mul sin(((-0.4741568873111853 mul x_2) add (0.4700419975653857 mul x_3)))))) mul ((0.011461866693713805 mul x_0) add (105.18985617046667 mul sin((-0.00017880922292092108 add (0.0001295486030192161 mul x_1)))))))),0.022665307,0.899186372,0,0,0,0,37,0.940044468,0,0,0,0,37,8786.444691,4
omega/c,feynman_I_29_4,0.1,(0.004484042540963009 add (inv((-0.0037196998545061186 add (-1.0352816142209382 mul x_1))) mul ((-1.0331635249658309 mul x_0) add (-4.4200211286181575e-06 mul inv(((1.9190121476004527 mul cos((0.5624211710032146 add (91.57636835664303 mul x_1)))) add (11.597401859384918 mul inv((8.20469558252747 add (-4.5354953398753395 mul (x_1 mul x_1))))))))))),0.009934173,0.978914454,0,0,0,0,35,0.999972708,1,0,0,1,35,3284.242979,2
Int_0*sin(n*theta/2)**2/sin(theta/2)**2,feynman_I_30_3,0.1,(0.015728849403010736 add ((((0.11553776191911976 mul ((2.064024386543303 add (-0.15785615679241266 mul x_1)))**2) add (-0.5284445205925995 mul inv((0.7693452583099158 add (0.3160719900682654 mul x_1))))) mul ((-0.20413033066946634 mul x_0) add (-0.20413033066925523 mul x_0))) mul ((87.80388003726206 mul sin((0.9414054056036228 add (0.008719810330451867 mul x_0)))) add (71.23126723265581 mul sin((11.009626920034751 add (0.9999833079237956 mul (x_2 mul x_1)))))))),0.015600793,0.969782932,0,0,0,0,47,0.988773318,0,0,0,0,47,14569.51973,3
arcsin(lambd/(n*d)),feynman_I_30_5,0.1,(0.031117197546091296 add (inv((3.2169124856445186 add (-17.865663725284506 mul x_2))) mul ((-4.921444474570284 mul cos((-1.800774810286634 add (0.6203687810967776 mul x_0)))) sub ((-0.05436353692267084 mul (x_2 mul x_2)) add (18.846583064882694 mul exp(((-0.6887409315845457 mul x_1) sub (-7.439026469812207 mul cos((7.92860717701095 add (-0.10107310617566441 mul x_0))))))))))),0.010263843,0.965628539,0,0,0,0,39,0.999052155,1,0,0,1,39,2443.973663,3
(1/2*epsilon*c*Ef**2)*(8*pi*r**2/3)*(omega**4/(omega**2-omega_0**2)**2),feynman_I_32_17,0.1,(0.10203308558842883 add (exp(((14.063874040994962 mul exp(((0.11885047100024153 mul x_2) add (-0.5026679337340267 mul x_5)))) add (3.287722839878706 mul x_4))) mul (((-0.0010886072493080773 mul sin((-8.314124502290984 add (-5.4451542102047075 mul x_3)))) sub (-0.0007440957020857774 mul ((x_1 mul exp(((0.024417485946599825 mul x_1) add (1.2459418632913168 mul x_3)))) mul ((0.2856038290675459 mul x_5) add (-1.9984028565719079 mul x_2))))) mul ((-0.03901239396083967 mul x_0) add (0.0005153248747263641 mul x_2))))),0.011135618,0.985179752,0,0,0,0,55,0.998223702,0,0,0,0,55,8952.359633,6
q**2*a**2/(6*pi*epsilon*c**3),feynman_I_32_5,0.1,(0.017301581823733383 add (inv((0.5663611369198924 add (23.59035532043635 mul x_2))) mul (((31.48482409038986 mul sin((-12.565991422767356 add (-0.05106393146663696 mul x_3)))) sub (-1.6003402628076362 mul x_3)) mul ((1.241360001686689 add (-0.23058071413084205 mul ((x_0 mul ((-10.573010306099588 add (2.4546643390635987 mul x_3)))**2) mul x_1))))**2))),0.012269144,0.986192677,0,0,0,0,37,0.99736051,0,0,0,0,37,7588.319305,4
